,x_0,x_1,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
182,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0.0,-117.93999999999997,1
183,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0.0,-117.67000000000002,1
184,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0.0,-117.66999999999997,9
185,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
186,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-117.55999999999999,1
187,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.05,-144.94,1
188,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
189,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0.0,-117.25999999999999,2
190,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.05,-138.87,1
191,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
192,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0.05,-138.87,1
193,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.0,-116.75999999999996,1
194,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0.0,-116.75999999999999,3
195,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0.0,-116.68000000000002,1
196,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0.0,-116.27999999999997,1
197,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0,-116.27000000000001,2
198,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0.05,-148.73999999999998,1
199,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0.0,-115.05000000000001,1
